OBJECTID,Provider Number,dist_apart,match source,matching_uuid
5501,054135,0,dist threshhold,5501-054135
5508,054122,0,dist threshhold,5508-054122
5527,053301,0,dist threshhold,5527-053301
5556,050780,0,top dist and str match,5556-050780
5562,052050,0,top dist and str match,5562-052050
5625,050320,56,dist threshhold,5625-050320
5639,053311,0,top dist and str match,5639-053311
5679,050767,9,dist threshhold,5679-050767
5747,050778,0,top dist and str match,5747-050778
5748,050770,0,dist threshhold,5748-050770
5773,054151,0,dist threshhold,5773-054151
5775,050775,0,dist threshhold,5775-050775
5859,050779,0,dist threshhold,5859-050779
5892,052054,0,dist threshhold,5892-052054
5897,054083,0,dist threshhold,5897-054083
5900,054147,36,dist threshhold,5900-054147
5903,054146,0,dist threshhold,5903-054146
5946,050769,0,dist threshhold,5946-050769
5958,054149,0,dist threshhold,5958-054149
4327,064001,0,dist threshhold,4327-064001
4506,064007,0,top dist and str match,4506-064007
4551,064024,0,dist threshhold,4551-064024
4577,062012,0,dist threshhold,4577-062012
4657,061306,0,dist threshhold,4657-061306
4730,061304,0,dist threshhold,4730-061304
4737,063035,0,normalized average,4737-063035
4802,062017,0,top dist and str match,4802-062017
4859,061310,0,dist threshhold,4859-061310
4987,063033,0,top dist and str match,4987-063033
584,060004,0,dist threshhold,584-060004
585,060024,0,dist threshhold,585-060024
