adm1_code,adm0_a3,population,density,min,max,mean,median,mode,stddev
SOM-2313,SOM,915543,0,0.03600528163506701,2.1294431707880515,0.1777092065822028,0.09690242784508438,0.057369942864121275,0.17253092151340355
FRA-5302,FRA,879644,0,0.0,91.1429672241211,1.1806268596472136,0.0,0.30464403216703934,3.7023683460735666
LAO-3292,LAO,413325,0,6.425095962144524E-4,236.10597229003906,0.21811076766431328,6.425095962144524E-4,0.10298394988434073,1.295996077092514
PHL-2595,PHL,743075,0,0.15902963031465306,390.74261474609375,2.153168314959858,0.15902963031465306,1.0085723082448514,6.846971384188816
SVN-231,SVN,2192,0,0.06270952008664608,3.6987571716308594,0.3269374164559233,0.16076099167052957,0.08631607219424575,0.515389093517545
UGA-3066,UGA,280960,0,0.6131896215433977,11.248023986816406,1.8049840910080226,1.5515133702896606,1.4695643520969424,0.8254564163234048
GBR-2034,GBR,332785,0,0.002450374619786588,106.46369934082031,0.32391681992347815,0.002450374619786588,0.04266916338127388,2.3495197479713354
KOS-5895,KOS,83890,0,0.39232981940368555,4.317904949188232,1.5014293249262451,1.4430526340973304,1.3918779518881204,0.5697914484960707
SVN-1009,SVN,5444,0,0.002639405339276894,8.512535912649971,0.09516119218809624,0.002639405339276894,0.013459956733185946,0.4395860665995301
SVN-981,SVN,6119,0,0.09196118197623308,22.7918643951416,0.4397436100942065,0.09196118197623308,0.09196118197623308,1.8327291229213067
VCT-5065,VCT,17457,0,0.48962790838309694,12.336966514587402,2.6713677868053214,2.265513202422917,1.4471210715349982,1.7694730370352227
SVN-213,SVN,2493,0,0.0641652714720992,5.180578708648682,0.4222985116255475,0.28881811716175726,0.10699730967254259,0.4360781153140862
KNA-5101,KNA,18537,0,0.15793336240144876,12.03296184539795,2.971239878038772,0.8951193076821738,0.3693532721382328,3.4064257726224825
CZE-10373,CZE,516910,0,0.023427695967257023,16.839740753173828,0.653667159386493,0.023427695967257023,0.17873017798587923,1.558581499238745
GBR-2035,GBR,1383721,0,0.09973416876294078,248.3792724609375,2.0543772409989205,0.09973416876294078,0.20329620791871855,6.80062158912223
VNM-461,VNM,1202591,1,3.443856954574585,148.31580098470053,10.80117159321943,6.740970281206628,6.44658108278427,9.34078477087623
FRA-5286,FRA,444411,0,0.040571545010740444,55.749244689941406,0.2902964514093596,0.040571545010740444,0.13374719013758582,1.070154319816791
TCD-1487,TCD,843047,0,0.04070845854561758,4.045360565185547,0.4119067719414444,0.2199489271723807,0.11047929460468534,0.41337750614807217
GIN-5635,GIN,2085672,0,0.03764628618955612,195.3032684326172,4.863284187777614,0.03764628618955612,0.3315704616993026,17.528537013369167
USA-3550,USA,11808083,0,0.0,997.9964599609375,0.7263008853807139,0.0,0.2761704467805942,3.060498730884348
BLZ-1355,BLZ,47646,0,0.016790506563016346,8.275297482808432,0.16401983284303578,0.062404013849102,0.14629597406641356,0.30412269982407875
ITA-5403,ITA,1276980,0,0.0,839.5675048828125,2.150297787877171,0.0,0.12242462154713593,16.017135000097298
HUN-4920,HUN,59854,0,0.14959371160466314,50.89332707722982,1.6953907293400665,0.14959371160466314,0.14959371160466314,5.3042200845956256
HUN-3158,HUN,298039,0,0.013462048023939133,40.90159797668457,0.389525114730166,0.013462048023939133,0.1267938095728399,1.362294949654774
TUR-2276,TUR,573212,0,0.003743249161619972,98.18925857543945,0.31574102609146204,0.003743249161619972,0.06658539570289641,2.2888435817719412
DJI-1567,DJI,574044,3,0.7736996633729468,119.16258663601346,26.37343203632149,4.6218846680712495,0.7736996633729468,35.32202500392372
WSM-4991,WSM,4853,0,0.02403064267868804,1.1770793676376343,0.12367605159688591,0.042121443444186606,0.02403064267868804,0.17999177370986752
IND-2431,IND,15480909,0,0.0,415.97186279296875,1.0467668990595211,0.0,0.4270044276686378,3.6495007143976044
FRA-5325,FRA,745281,0,0.008090259352078041,88.19118908473423,0.8084958981321123,0.008090259352078041,0.15381005142131826,3.3340186422021723
TWN-1165,TWN,538623,0,0.013901619330769586,114.17845153808594,2.321023303091784,0.013901619330769586,0.4445439644199433,7.642932878679293
MDA-1652,MDA,43273,0,0.026017678072224614,2.8669129014015198,0.3740580591634447,0.17596591970617675,0.06407195301383242,0.4140118677182051
THA-419,THA,514894,0,0.008918725903360894,50.83197021484375,0.6750964557945285,0.008918725903360894,0.13597959541009727,1.8427819648957209
